days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
-27358531452,445626,1075281566,1589,Gunsan RE,2012-12-21T00:00:00.0000000
-4074817040,1941,45544429355,13799,Gunsan RE,2013-04-17T00:00:00.0000000
-850560000,-199000,38643,7482,Gunsan RE,2012-05-10T00:00:00.0000000
-3293983,-1700,1,3536,Gunsan Chemical,2018-09-20T00:00:00.0000000
5000,2,2500,10106,Iksan VIP,2014-12-02T00:00:00.0000000
12841,120,0,3979,Gunsan Chemical,2010-01-14T00:00:00.0000000
16880,14,3490,7554,Iksan VIP,2016-02-26T00:00:00.0000000
17600,20,880,13164,Iksan VIP,2014-03-05T00:00:00.0000000
18000,20,900,2094,Iksan VIP,2012-09-05T00:00:00.0000000
18900,10,1890,8831,Iksan VIP,2014-07-09T00:00:00.0000000
20000,1,20000,5204,Iksan VIP,2012-02-06T00:00:00.0000000
21300,404,2709,14605,Iksan VIP,2014-10-01T00:00:00.0000000
22500,1,22500,20,Iksan,2013-04-22T00:00:00.0000000
22500,1,22500,12093,Iksan,2015-01-27T00:00:00.0000000
23000,1,23000,13115,Iksan,2014-03-17T00:00:00.0000000
24000,1,24000,11907,Iksan VIP,2011-10-24T00:00:00.0000000
26400,30,880,14743,Iksan VIP,2015-03-10T00:00:00.0000000
30000,2,15000,6384,Iksan VIP,2019-06-27T00:00:00.0000000
30000,3,10000,12948,Iksan,2014-07-07T00:00:00.0000000
31800,2,31800,6249,Iksan VIP,2013-01-16T00:00:00.0000000
31980,2,15990,14213,Iksan VIP,2014-06-20T00:00:00.0000000
34500,3,11500,7553,Iksan VIP,2015-02-17T00:00:00.0000000
40000,1,40000,10014,Gwangyang,2013-07-04T00:00:00.0000000
40800,3,13600,5044,Iksan VIP,2014-06-17T00:00:00.0000000
42000,1,42000,6579,Iksan,2020-01-17T00:00:00.0000000
48000,1,48000,3376,Gwangyang,2019-02-12T00:00:00.0000000
50000,1,50000,1132,Gwangyang,2019-08-07T00:00:00.0000000
50000,1,50000,13702,Gwangyang,2013-04-17T00:00:00.0000000
54000,2,27000,11562,Iksan,2013-04-05T00:00:00.0000000
60000,1,60000,898,Iksan VIP,2014-04-07T00:00:00.0000000
60000,1,60000,8315,Gwangyang,2018-11-19T00:00:00.0000000
