Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,780.505925306,102.203354281,391.580763035,0.0,34.9616554283,113.312780494,643.239182835,628.856149195,5.66466996096,8.71836367889
 01/01  02:00:00,778.138589184,102.203354281,400.770816511,0.0,34.9616554283,113.312780494,655.744647833,632.663474749,5.66466996096,17.4165031226
 01/01  03:00:00,787.421513545,102.203354281,403.860968016,0.0,34.9616554283,113.312780494,662.87401813,639.794365744,5.66466996096,17.4149824257
 01/01  04:00:00,797.705194441,102.203354281,402.927994746,0.0,34.9616554283,113.312780494,660.449268423,646.065868361,5.66466996096,8.71873010151
 01/01  05:00:00,807.032060775,102.203354281,400.204187653,0.0,44.4937663224,113.312780494,665.570284405,642.488543769,5.66466996096,17.4170706757
 01/01  06:00:00,804.705358956,102.203354281,397.541449325,0.0,44.4937663224,113.312780494,678.474975834,646.897848036,14.1616749024,17.4154528951
 01/01  07:00:00,876.785387235,102.203354281,394.01329101,0.0,54.0258772165,176.889270242,623.591409783,586.549073526,28.3233498048,8.71898645223
 01/01  08:00:00,867.385045653,102.203354281,390.847657782,0.0,54.0258772165,184.38654557,627.036373823,567.136740995,42.4850247072,17.4146081211
 01/01  09:00:00,938.21472553,102.203354281,396.459236353,0.0,65.1572554096,220.04316451,573.040119619,498.897727325,56.6466996096,17.4956926847
 01/01  10:00:00,937.176337488,102.203354281,406.930357901,0.0,65.1572554096,212.545889182,522.336516425,453.498514706,42.4850247072,26.3529770122
 01/01  11:00:00,962.389785729,102.203354281,414.74549996,0.0,65.1572554096,220.04316451,521.18874201,423.909745332,70.808374512,26.470622166
 01/01  12:00:00,961.591555802,102.203354281,406.395502721,0.0,65.1572554096,220.04316451,509.410614948,412.131669717,70.808374512,26.4705707194
 01/01  13:00:00,957.261186935,102.203354281,396.693809328,0.0,65.1572554096,220.04316451,508.988643216,402.887474508,70.808374512,35.292794196
 01/01  14:00:00,943.313373846,102.203354281,386.442078504,0.0,65.1572554096,212.545889182,461.818965959,378.699364915,56.6466996096,26.4729014345
 01/01  15:00:00,932.716945278,102.203354281,410.648124121,0.0,65.1572554096,212.545889182,429.417157691,360.458948117,42.4850247072,26.4731848666
 01/01  16:00:00,939.381823351,102.203354281,429.721051554,0.0,65.1572554096,212.545889182,459.434475894,367.496775032,56.6466996096,35.2910012529
 01/01  17:00:00,922.214713194,102.203354281,435.066059303,0.0,65.1572554096,220.04316451,538.042304898,426.596946977,84.9700494144,26.4753085064
 01/01  18:00:00,879.762320718,102.203354281,430.200997845,0.0,54.0258772165,184.38654557,589.100042366,477.778874854,84.9700494144,26.3511180975
 01/01  19:00:00,842.542646274,102.203354281,422.701047173,0.0,44.4937663224,163.454314868,623.414381544,529.725342562,84.9700494144,8.71898956786
 01/01  20:00:00,845.213571863,102.203354281,417.370384182,0.0,44.4937663224,155.95703954,615.023098979,540.961786537,56.6466996096,17.4146128325
 01/01  21:00:00,825.98965276,102.203354281,411.670627501,0.0,44.4937663224,124.558693486,653.572245402,579.509620847,56.6466996096,17.4159249455
 01/01  22:00:00,824.085400886,102.203354281,406.035682254,0.0,44.4937663224,124.558693486,639.805403833,588.601132842,42.4850247072,8.71924628438
 01/01  23:00:00,814.464481055,102.203354281,398.940728465,0.0,34.9616554283,124.558693486,659.155173995,613.416756614,28.3233498048,17.4150675756
 01/01  24:00:00,809.981057608,102.203354281,390.273098733,0.0,34.9616554283,124.558693486,658.107293652,626.529206072,14.1616749024,17.416412678
 01/02  01:00:00,804.721917214,102.203354281,386.544639116,0.0,46.0930336215,113.312780494,645.340230196,630.955996453,5.66466996096,8.71956378271
 01/02  02:00:00,811.284002533,102.203354281,387.502612216,0.0,46.0930336215,113.312780494,654.367033802,631.286696315,5.66466996096,17.4156675263
 01/02  03:00:00,825.435679383,102.203354281,390.894096436,0.0,46.0930336215,113.312780494,656.854335974,633.772595478,5.66466996096,17.417070535
 01/02  04:00:00,829.415409621,102.203354281,391.101832005,0.0,46.0930336215,113.312780494,652.797805033,638.416240946,5.66466996096,8.71689412603
 01/02  05:00:00,917.277976528,102.203354281,391.075296308,0.0,100.150657288,148.969399434,627.881357016,604.800361819,5.66466996096,17.4163252355
 01/02  06:00:00,923.184450167,102.203354281,389.414713974,0.0,100.150657288,149.894399434,1175.75107993,1144.17178406,14.1616749024,17.417620964
 01/02  07:00:00,1148.29484534,102.203354281,384.910122541,0.0,176.471037341,302.612436532,787.514407629,750.473919628,28.3233498048,8.71713819571
 01/02  08:00:00,1256.93010397,102.203354281,382.21409147,0.0,243.2593065,310.10971186,734.849884922,665.997264789,42.4850247072,26.3675954263
 01/02  09:00:00,1292.00052225,102.203354281,385.425608412,0.0,243.2593065,310.10971186,680.841290596,588.861457209,56.6466996096,35.3331337773
 01/02  10:00:00,1318.40172989,102.203354281,393.589895535,0.0,243.2593065,302.612436532,613.658500596,536.843279851,42.4850247072,34.3301960373
 01/02  11:00:00,1322.19615655,102.260471909,403.298530633,0.0,243.2593065,310.10971186,601.005384511,493.371113626,70.808374512,36.8258963729
 01/02  12:00:00,1319.95460615,102.38046385,406.663478901,0.0,243.2593065,310.10971186,574.554902847,459.037504709,70.808374512,44.7090236257
